data,mean,temp_arg,temp_arg_max,temp_arg_min
2021-08-18,18031.000000000004,14.1,18.8,9.4
2021-08-19,18371.333333333332,12.8,17.06666667,8.533333333
2021-08-20,17913.0,13.7,18.26666667,9.133333333
2021-08-21,17168.25,11.4,15.2,7.6
2021-08-22,16381.458333333334,14.3,19.066666669999996,9.533333333
2021-08-23,17512.833333333332,10.099999999999998,13.466666669999999,6.733333333
2021-08-24,17305.333333333332,7.5,10.0,5.0
2021-08-25,16876.41666666667,9.1,12.133333330000001,6.066666667
2021-08-26,18452.95833333333,13.8,18.4,9.2
2021-08-27,18008.333333333336,10.6,14.13333333,7.066666667000001
2021-08-28,16462.375,13.8,18.4,9.2
2021-08-29,14979.166666666664,11.7,15.6,7.8
2021-08-30,15755.249999999998,17.1,22.8,11.4
2021-08-31,15492.625000000002,21.9,29.2,14.6
2021-09-01,14840.375000000002,17.1,22.800000000000004,11.400000000000002
2021-09-02,16828.333333333336,13.6,18.133333329999996,9.066666667
2021-09-03,16821.166666666664,14.0,18.66666667,9.333333333
2021-09-04,15728.08333333333,11.6,15.46666667,7.733333333
2021-09-05,14185.624999999998,13.4,17.86666667,8.933333333
2021-09-06,16287.708333333332,14.4,19.2,9.6
2021-09-07,16979.291666666664,13.6,18.13333333,9.066666667
2021-09-08,17529.45833333334,15.1,20.133333329999996,10.06666667
2021-09-09,17681.124999999996,13.2,17.6,8.8
2021-09-10,17253.708333333332,12.3,16.4,8.2
2021-09-11,15737.375,14.9,19.866666670000004,9.933333333
2021-09-12,14059.333333333332,18.4,24.53333333,12.26666667
2021-09-13,15698.458333333334,14.7,19.6,9.8
2021-09-14,16625.041666666668,13.1,17.46666667,8.733333333
2021-09-15,16915.458333333336,11.7,15.6,7.8
2021-09-16,16572.0,16.8,22.4,11.2
2021-09-17,16243.833333333332,17.5,23.33333333,11.66666667
2021-09-18,15528.833333333332,16.7,22.26666667,11.133333330000001
2021-09-19,15212.08333333333,16.1,21.46666667,10.733333330000002
2021-09-20,16698.125,15.4,20.53333333,10.26666667
2021-09-21,16801.583333333336,11.0,14.66666667,7.333333333
2021-09-22,16941.333333333332,11.9,15.866666669999999,7.933333333
2021-09-23,16446.458333333336,14.4,19.2,9.6
2021-09-24,16408.45833333333,11.8,15.73333333,7.866666667
2021-09-25,15261.208333333332,15.1,20.133333329999996,10.06666667
2021-09-26,14296.416666666664,17.7,23.6,11.8
2021-09-27,16079.249999999998,12.3,16.4,8.2
2021-09-28,16273.541666666666,12.5,16.66666667,8.333333333
2021-09-29,16205.874999999998,14.3,19.06666667,9.533333333
2021-09-30,16476.583333333332,15.6,20.8,10.4
2021-10-01,15520.166666666668,14.1,18.8,9.4
2021-10-02,14642.208333333336,13.7,18.26666667,9.133333333
2021-10-03,13555.75,11.3,15.06666667,7.533333333
2021-10-04,14662.166666666666,13.0,17.33333333,8.666666667
2021-10-05,14899.416666666668,17.6,23.46666667,11.73333333
2021-10-06,14950.708333333334,13.1,17.46666667,8.733333333
2021-10-07,14552.833333333334,10.2,13.6,6.8
2021-10-08,13802.208333333332,11.9,15.86666667,7.933333332999999
2021-10-09,13531.583333333334,14.3,19.06666667,9.533333333
2021-10-10,12959.083333333334,15.1,20.13333333,10.06666667
2021-10-11,13117.624999999998,17.1,22.8,11.4
2021-10-12,15053.583333333332,16.8,22.4,11.2
2021-10-13,15001.791666666666,16.2,21.6,10.8
